asset_id,asset_type,near_junction,motorway,latitude,longitude,zone_motorway,zone_junction_id,in_priority_zone
M6_13_asset2,Gantry,13,M6,52.76346634431365,-2.1009154630341045,M6,13,True
M6_13_asset3,Gantry,13,M6,52.75533841740436,-2.096873170435351,,,False
M6_13_asset4,Safety Barrier,13,M6,52.76512369720596,-2.112472493780556,,,False
M6_2_asset1,Safety Barrier,2,M6,52.4359723669696,-1.4176883746964457,,,False
M6_2_asset2,Signage,2,M6,52.44183094838486,-1.436027413930329,,,False
M6_2_asset3,Gantry,2,M6,52.43541409821332,-1.4293190019005573,M6,2,True
M6_2_asset4,Signage,2,M6,52.44527000555034,-1.4292858624241829,,,False
M6_3_asset1,Safety Barrier,3,M6,52.46195771601307,-1.494626374807008,M6,3,True
M6_3_asset2,Signage,3,M6,52.46432773691833,-1.4877468161881064,M6,3,True
M6_3_asset3,Gantry,3,M6,52.460834139890906,-1.4887429803770855,M6,3,True
M6_3_asset4,Gantry,3,M6,52.46256606248945,-1.492922020903564,M6,3,True
M6_3A_asset1,Gantry,3A,M6,52.4760319338673,-1.6751569240708308,M6,3A,True
M6_3A_asset2,Signage,3A,M6,52.47954569683665,-1.6856425912955462,,,False
M6_3A_asset3,Signage,3A,M6,52.48011301640902,-1.6763043192430285,M6,3A,True
M6_3A_asset4,Signage,3A,M6,52.47804250670093,-1.6695353116153862,,,False
M6_4_asset1,Gantry,4,M6,52.47999945372464,-1.7198911783913295,,,False
M6_4_asset2,Safety Barrier,4,M6,52.47869314199804,-1.710987055909194,M6,4,True
M6_4_asset3,Safety Barrier,4,M6,52.48398373062888,-1.715387655563391,,,False
M6_4_asset4,Gantry,4,M6,52.48274448583248,-1.7195292883467603,,,False
M6_4A_asset1,Signage,4A,M6,52.51240509505874,-1.7434769471627405,,,False
M6_4A_asset2,Gantry,4A,M6,52.51212360083813,-1.749520943114704,M6,4A,True
M6_4A_asset3,Safety Barrier,4A,M6,52.51210496669981,-1.753265977965735,M6,4A,True
M6_4A_asset4,Safety Barrier,4A,M6,52.50779302349444,-1.7434328733547408,,,False
M6_5_asset1,Signage,5,M6,52.51269975313466,-1.788968939670082,M6,5,True
M6_5_asset2,Signage,5,M6,52.50499927027411,-1.789946394814363,,,False
M6_5_asset3,Signage,5,M6,52.50849402035045,-1.7957554317930944,,,False
M6_5_asset4,Gantry,5,M6,52.51406728412575,-1.7902089845277522,,,False
M6_6_asset1,Signage,6,M6,52.51816417791167,-1.8647519726123831,,,False
M6_6_asset2,Signage,6,M6,52.51099517917631,-1.8673535022083343,M6,6,True
M6_6_asset3,Signage,6,M6,52.51441739572134,-1.86269581542984,M6,6,True
M6_6_asset4,Safety Barrier,6,M6,52.51007895474467,-1.866246925313094,M6,6,True
M6_7_asset1,Gantry,7,M6,52.55873526948004,-1.931434796919613,,,False
M6_7_asset2,Safety Barrier,7,M6,52.55397128056477,-1.9268299744253152,M6,7,True
M6_7_asset3,Gantry,7,M6,52.55289817493862,-1.9271096425930516,M6,7,True
M6_7_asset4,Signage,7,M6,52.55048276277783,-1.9337389748952467,M6,7,True
M6_8_asset1,Signage,8,M6,52.558070075297984,-1.9705857894907748,,,False
M6_8_asset2,Signage,8,M6,52.55626444148452,-1.961040541469584,M6,8,True
M6_8_asset3,Safety Barrier,8,M6,52.55386171539914,-1.957033829397252,M6,8,True
M6_8_asset4,Gantry,8,M6,52.555489977289696,-1.964671666088252,M6,8,True
M6_9_asset1,Gantry,9,M6,52.567541029931405,-1.9986705243288792,M6,9,True
M6_9_asset2,Gantry,9,M6,52.565678568490206,-2.000814017800135,M6,9,True
M6_9_asset3,Signage,9,M6,52.56432855956171,-2.005597586891705,M6,9,True
M6_9_asset4,Signage,9,M6,52.56466330944623,-1.999371827110887,M6,9,True
