asset_id,asset_type,near_junction,motorway,latitude,longitude
M6_11_asset2,Safety Barrier,11,M6,52.657949706379185,-2.067309444366991
M6_11_asset3,Gantry,11,M6,52.657292545273044,-2.063253661335657
M6_11_asset4,Safety Barrier,11,M6,52.65652534928117,-2.0667860994986023
M6_11A_asset1,Signage,11A,M6,52.675793250894316,-2.0919114834709798
M6_11A_asset2,Gantry,11A,M6,52.6707440379801,-2.0877711729851276
M6_11A_asset3,Gantry,11A,M6,52.6762655047537,-2.086960757934374
M6_11A_asset4,Safety Barrier,11A,M6,52.6764278676031,-2.0832507355822374
M6_12_asset1,Safety Barrier,12,M6,52.69184899912797,-2.101310033067937
M6_12_asset2,Safety Barrier,12,M6,52.69722103653509,-2.1030762878725393
M6_12_asset3,Gantry,12,M6,52.684738046441055,-2.0994105023824488
M6_12_asset4,Gantry,12,M6,52.69280207054692,-2.091843218881096
M6_13_asset1,Gantry,13,M6,52.75895601599597,-2.0931585728262005
M6_13_asset2,Gantry,13,M6,52.76346634431365,-2.1009154630341045
M6_13_asset3,Gantry,13,M6,52.75533841740436,-2.096873170435351
M6_13_asset4,Safety Barrier,13,M6,52.76512369720596,-2.112472493780556
M6_2_asset1,Safety Barrier,2,M6,52.435972366969594,-1.4176883746964455
M6_2_asset2,Signage,2,M6,52.44183094838486,-1.436027413930329
M6_2_asset3,Gantry,2,M6,52.43541409821332,-1.4293190019005573
M6_2_asset4,Signage,2,M6,52.44527000555034,-1.4292858624241827
M6_3_asset1,Safety Barrier,3,M6,52.46195771601307,-1.494626374807008
M6_3_asset2,Signage,3,M6,52.46432773691833,-1.4877468161881064
M6_3_asset3,Gantry,3,M6,52.460834139890906,-1.4887429803770855
M6_3_asset4,Gantry,3,M6,52.46256606248945,-1.4929220209035639
M6_3A_asset1,Gantry,3A,M6,52.476031933867304,-1.6751569240708308
M6_3A_asset2,Signage,3A,M6,52.47954569683665,-1.6856425912955462
M6_3A_asset3,Signage,3A,M6,52.48011301640902,-1.6763043192430283
M6_3A_asset4,Signage,3A,M6,52.47804250670093,-1.6695353116153862
M6_4_asset1,Gantry,4,M6,52.47999945372464,-1.7198911783913295
M6_4_asset2,Safety Barrier,4,M6,52.478693141998036,-1.710987055909194
M6_4_asset3,Safety Barrier,4,M6,52.48398373062888,-1.7153876555633907
M6_4_asset4,Gantry,4,M6,52.48274448583248,-1.7195292883467603
M6_4A_asset1,Signage,4A,M6,52.51240509505874,-1.7434769471627405
M6_4A_asset2,Gantry,4A,M6,52.51212360083813,-1.749520943114704
M6_4A_asset3,Safety Barrier,4A,M6,52.51210496669981,-1.753265977965735
M6_4A_asset4,Safety Barrier,4A,M6,52.50779302349444,-1.7434328733547408
M6_5_asset1,Signage,5,M6,52.51269975313466,-1.7889689396700819
M6_5_asset2,Signage,5,M6,52.50499927027411,-1.789946394814363
M6_5_asset3,Signage,5,M6,52.50849402035045,-1.7957554317930944
M6_5_asset4,Gantry,5,M6,52.51406728412575,-1.7902089845277522
M6_6_asset1,Signage,6,M6,52.518164177911665,-1.8647519726123831
M6_6_asset2,Signage,6,M6,52.51099517917631,-1.8673535022083345
M6_6_asset3,Signage,6,M6,52.51441739572134,-1.8626958154298399
M6_6_asset4,Safety Barrier,6,M6,52.51007895474467,-1.866246925313094
M6_7_asset1,Gantry,7,M6,52.55873526948004,-1.931434796919613
M6_7_asset2,Safety Barrier,7,M6,52.55397128056477,-1.9268299744253152
M6_7_asset3,Gantry,7,M6,52.55289817493862,-1.9271096425930514
M6_7_asset4,Signage,7,M6,52.55048276277783,-1.9337389748952467
M6_8_asset1,Signage,8,M6,52.558070075297984,-1.9705857894907748
M6_8_asset2,Signage,8,M6,52.55626444148452,-1.9610405414695837
M6_8_asset3,Safety Barrier,8,M6,52.55386171539914,-1.9570338293972516
M6_8_asset4,Gantry,8,M6,52.555489977289696,-1.964671666088252
M6_9_asset1,Gantry,9,M6,52.567541029931405,-1.9986705243288792
M6_9_asset2,Gantry,9,M6,52.565678568490206,-2.000814017800135
M6_9_asset3,Signage,9,M6,52.56432855956171,-2.005597586891705
M6_9_asset4,Signage,9,M6,52.564663309446225,-1.9993718271108867
